County Name,Facility_Name,Full_Address,State,Total,latitudes,longitudes
LINCOLN,LINCOLN COMMUNITY HOSPITAL,"111 6TH ST,HUGO,LINCOLN,CO",CO,4003,39.1382574,-103.473377
RIO BLANCO,RANGELY DISTRICT HOSPITAL,"225 EAGLE CREST ST,RANGELY,RIO BLANCO,CO",CO,6,40.488729,-107.55802
YUMA,WRAY COMMUNITY DISTRICT HOSPITAL,"1017 W 7TH ST,WRAY,YUMA,CO",CO,9430,40.0762036,-102.234769
SEDGWICK,SEDGWICK COUNTY MEMORIAL HOSPITAL,"900 CEDAR ST,JULESBURG,SEDGWICK,CO",CO,3172,40.9940109,-102.2686398
BACA,SOUTHEAST COLORADO HOSPITAL DISTRICT,"373 E TENTH AVE,SPRINGFIELD,BACA,CO",CO,14,37.40835,-102.61436
LARIMER,ESTES PARK MEDICAL CENTER,"555 PROSPECT AVE,ESTES PARK,LARIMER,CO",CO,1112,40.3715068,-105.5151371
KIT CARSON,KIT CARSON COUNTY MEMORIAL HOSPITAL,"286 16TH ST,BURLINGTON,KIT CARSON,CO",CO,36,39.3029706,-102.2704064
MOFFAT,"MEMORIAL HOSPITAL, THE","750 HOSPITAL LOOP,CRAIG,MOFFAT,CO",CO,18,40.5183896,-107.5799564
YUMA,YUMA DISTRICT HOSPITAL,"1000 W 8TH AVE,YUMA,YUMA,CO",CO,9430,40.1200338,-102.7370081
HUERFANO,SPANISH PEAKS REGIONAL HEALTH CENTER,"23500 US HWY 160,WALSENBURG,HUERFANO,CO",CO,5,37.62418,-104.78026
GARFIELD,GRAND RIVER HOSPITAL DISTRICT,"501 AIRPORT RD,RIFLE,GARFIELD,CO",CO,742,39.5214827,-107.7701309
GRAND,MIDDLE PARK MEDICAL CENTER,"214 4TH ST,KREMMLING,GRAND,CO",CO,69,40.0570259,-106.3906487
LAKE,ST VINCENT GENERAL HOSPITAL DISTRICT,"822 W 4TH ST,LEADVILLE,LAKE,CO",CO,22444,39.2451202,-106.3034141
GUNNISON,GUNNISON VALLEY HOSPITAL,"711 NORTH TAYLOR STREET,GUNNISON,GUNNISON,CO",CO,202,38.5522456,-106.9246626
LAS ANIMAS,MT SAN RAFAEL HOSPITAL,"410 BENEDICTA AVE,TRINIDAD,LAS ANIMAS,CO",CO,11,37.1737495,-104.4875793
PROWERS,PROWERS MEDICAL CENTER,"401 KENDALL DR,LAMAR,PROWERS,CO",CO,45,38.0702066,-102.6108103
PITKIN,ASPEN VALLEY HOSPITAL,"401 CASTLE CREEK RD,ASPEN,PITKIN,CO",CO,154,39.1905961,-106.8393631
RIO BLANCO,EASTERN RIO BLANCO COUNTY HEALTH SERVICE DISTRICT,"100 PIONEERS MEDICAL CENTER DR,MEEKER,RIO BLANCO,CO",CO,6,40.0463529,-107.8813727
TELLER,UCHEALTH PIKES PEAK REGIONAL HOSPITAL,"16420 WEST HIGHWAY 24,WOODLAND PARK,TELLER,CO",CO,81,38.99388,-105.05693
MONTEZUMA,SOUTHWEST MEMORIAL HOSPITAL,"1311 N MILDRED RD,CORTEZ,MONTEZUMA,CO",CO,92,37.3623081,-108.5742649
ARCHULETA,PAGOSA SPRINGS MEDICAL CENTER,"95 SOUTH PAGOSA BOULEVARD,PAGOSA SPRINGS,ARCHULETA,CO",CO,19,37.2520356,-107.0782278
OTERO,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,"1100 CARSON AVENUE,LA JUNTA,OTERO,CO",CO,130,37.9777368,-103.549432
FREMONT,CENTURA HEALTH-ST THOMAS MORE HOSPITAL,"1338 PHAY AVENUE,CANON CITY,FREMONT,CO",CO,543,38.4547187,-105.2311169
ADAMS,CHILDREN'S HOSPITAL COLORADO,"13123 E 16TH AVE,AURORA,ADAMS,CO",CO,7059,39.7422167,-104.8361527
EL PASO,CHILDREN'S HOSPITAL COLORADO - COLORADO SPRINGS,"4090 BRIARGATE PKWY,COLORADO SPRINGS,EL PASO,CO",CO,15373,38.9705044,-104.7407701
PUEBLO,COLORADO MENTAL HEALTH INSTITUTE AT PUEBLO-PSYCH,"1600 W 24TH ST,PUEBLO,PUEBLO,CO",CO,502,38.2909548,-104.6277323
DENVER,COLORADO MENTAL HEALTH INSTITUTE AT FT LOGAN,"3520 W OXFORD AVE,DENVER,DENVER,CO",CO,8429,39.64219,-105.032558
BOULDER,CENTENNIAL PEAKS HOSPITAL,"2255 S 88TH ST,LOUISVILLE,BOULDER,CO",CO,1650,39.9520439,-105.1483289
EL PASO,CEDAR SPRINGS BEHAVIORAL HEALTH SYSTEM,"2135 SOUTHGATE RD,COLORADO SPRINGS,EL PASO,CO",CO,15373,38.8001686,-104.8173872
MESA,WEST SPRINGS HOSPITAL,"515 28 3/4 RD,GRAND JUNCTION,MESA,CO",CO,189,39.0793998,-108.5211907
DOUGLAS,HIGHLANDS BEHAVIORAL HEALTH SYSTEM,"8565 S POPLAR WAY,LITTLETON,DOUGLAS,CO",CO,13378,39.61332,-105.01665
EL PASO,PEAK VIEW BEHAVIORAL HEALTH,"7353 SISTERS GROVE,COLORADO SPRINGS,EL PASO,CO",CO,15373,38.9374603,-104.7127355
WELD,CLEAR VIEW BEHAVIORAL HEALTH,"4770 LARIMER PKWY,JOHNSTOWN,WELD,CO",CO,3244,40.409858,-105.15422
ARAPAHOE,DENVER SPRINGS,"8835 AMERICAN WAY,ENGLEWOOD,ARAPAHOE,CO",CO,6075,38.85001,-102.18213
HARTFORD,ST FRANCIS HOSPITAL & MEDICAL CENTER,"114 WOODLAND STREET,HARTFORD,HARTFORD,CT",CT,12082,41.7741394,-72.6980899
WINDHAM,DAY KIMBALL HOSPITAL,"320 POMFRET STREET,PUTNAM,WINDHAM,CT",CT,752,41.9069644,-71.9140147
LITCHFIELD,SHARON HOSPITAL,"50 HOSPITAL HILL ROAD,SHARON,LITCHFIELD,CT",CT,1524,41.8809636,-73.481996
NEW HAVEN,WATERBURY HOSPITAL,"64 ROBBINS ST,WATERBURY,NEW HAVEN,CT",CT,12788,41.5584302,-73.0587191
FAIRFIELD,STAMFORD HOSPITAL,"ONE HOSPITAL PLAZA,STAMFORD,FAIRFIELD,CT",CT,18461,41.133378,-73.25222
NEW LONDON,LAWRENCE & MEMORIAL HOSPITAL,"365 MONTAUK AVE,NEW LONDON,NEW LONDON,CT",CT,1356,41.3362807,-72.1043789
TOLLAND,JOHNSON MEMORIAL HOSPITAL,"201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,TOLLAND,CT",CT,948,41.942755,-72.376292
FAIRFIELD,BRIDGEPORT HOSPITAL,"267 GRANT STREET,BRIDGEPORT,FAIRFIELD,CT",CT,18461,41.1894708,-73.1674697
LITCHFIELD,CHARLOTTE HUNGERFORD HOSPITAL,"540 LITCHFIELD ST,TORRINGTON,LITCHFIELD,CT",CT,1524,41.7922704,-73.1337694
TOLLAND,ROCKVILLE GENERAL HOSPITAL,"31 UNION ST,ROCKVILLE,TOLLAND,CT",CT,948,41.866395,-72.4513197
NEW HAVEN,SAINT MARY'S HOSPITAL,"56 FRANKLIN STEET,WATERBURY,NEW HAVEN,CT",CT,12788,41.30169,-72.924505
NEW HAVEN,MIDSTATE MEDICAL CENTER,"435 LEWIS AVENUE,MERIDEN,NEW HAVEN,CT",CT,12788,41.5487876,-72.8012525
FAIRFIELD,GREENWICH HOSPITAL ASSOCIATION -,"5 PERRYRIDGE RD,GREENWICH,FAIRFIELD,CT",CT,18461,41.034299,-73.6306463
MIDDLESEX,MIDDLESEX HOSPITAL,"28 CRESCENT ST,MIDDLETOWN,MIDDLESEX,CT",CT,43505,41.5543992,-72.6472261
WINDHAM,WINDHAM COMMUNITY MEMORIAL HOSPITAL,"112 MANSFIELD AVENUE,WILLIMANTIC,WINDHAM,CT",CT,752,41.7178479,-72.2263235
NEW HAVEN,YALE-NEW HAVEN HOSPITAL,"20 YORK ST,NEW HAVEN,NEW HAVEN,CT",CT,12788,41.3046035,-72.9355941
NEW LONDON,WILLIAM W BACKUS HOSPITAL,"326 WASHINGTON ST,NORWICH,NEW LONDON,CT",CT,1356,41.5427439,-72.0887473
HARTFORD,HARTFORD HOSPITAL,"80 SEYMOUR STREET,HARTFORD,HARTFORD,CT",CT,12082,41.7539607,-72.6794554
HARTFORD,MANCHESTER MEMORIAL HOSPITAL,"71 HAYNES ST,MANCHESTER,HARTFORD,CT",CT,12082,41.7816396,-72.52584
FAIRFIELD,ST. VINCENT'S MEDICAL CENTER,"2800 MAIN ST,BRIDGEPORT,FAIRFIELD,CT",CT,18461,41.2019763,-73.2013719
HARTFORD,BRISTOL HOSPITAL,"41 BREWSTER RD,BRISTOL,HARTFORD,CT",CT,12082,41.6766681,-72.9358073
NEW HAVEN,GRIFFIN HOSPITAL,"130 DIVISION ST,DERBY,NEW HAVEN,CT",CT,12788,41.335278,-73.0892462
FAIRFIELD,DANBURY HOSPITAL,"24 HOSPITAL AVE,DANBURY,FAIRFIELD,CT",CT,18461,41.4052317,-73.4441889
FAIRFIELD,NORWALK HOSPITAL,"24 STEVENS STREET,NORWALK,FAIRFIELD,CT",CT,18461,41.110722,-73.420487
HARTFORD,THE HOSPITAL OF CENTRAL CONNECTICUT,"100 GRAND STREET,NEW BRITAIN,HARTFORD,CT",CT,12082,41.6613815,-72.7867116
HARTFORD,JOHN DEMPSEY HOSPITAL,"263 FARMINGTON AVE,FARMINGTON,HARTFORD,CT",CT,12082,41.7334454,-72.7923453
NEW HAVEN,THE CONNECTICUT HOSPICE INC.,"100 DOUBLE BEACH ROAD,BRANFORD,NEW HAVEN,CT",CT,12788,41.2558341,-72.8325333
NEW HAVEN,MASONICARE HEALTH CENTER HOSPITAL,"22 MASONIC AVE,WALLINGFORD,NEW HAVEN,CT",CT,12788,41.4633401,-72.8357521
HARTFORD,HEBREW HOME AND HOSPITAL INC,"1 ABRAHMS BOULEVARD,WEST HARTFORD,HARTFORD,CT",CT,12082,41.8027338,-72.7295494
HARTFORD,CONNECTICUT CHILDRENS MEDICAL CENTER,"282 WASHINGTON STREET,HARTFORD,HARTFORD,CT",CT,12082,41.7538032,-72.6817317
MIDDLESEX,CONNECTICUT VALLEY HOSP,"SILVER ST,MIDDLETOWN,MIDDLESEX,CT",CT,43505,41.5534042,-72.6331068
TOLLAND,NATCHAUG HOSPITAL,"189 STORRS RD,MANSFIELD CENTER,TOLLAND,CT",CT,948,41.7414877,-72.1975779
NEW HAVEN,CONNECTICUT MENTAL HEALTH CENTER,"34 PARK STREET,NEW HAVEN,NEW HAVEN,CT",CT,12788,41.3051594,-72.9368205
FAIRFIELD,SOUTHWEST CONNECTICUT MENTAL HEALTH,"1635 CENTRAL AVE,BRIDGEPORT,FAIRFIELD,CT",CT,18461,41.189442,-73.1675958
FAIRFIELD,SILVER HILL HOSPITAL INC,"208 VALLEY ROAD,NEW CANAAN,FAIRFIELD,CT",CT,18461,41.1651681,-73.4683175
MIDDLESEX,ALBERT J SOLNIT CHILDREN'S CENTER - SOUTH CAMPUS,"915 RIVER ROAD,MIDDLETOWN,MIDDLESEX,CT",CT,43505,41.5571777,-72.6140198
NEW CASTLE,CHRISTIANA HOSPITAL,"4755 OGLETOWN-STANTON ROAD,NEWARK,NEW CASTLE,DE",DE,6125,39.671492,-75.714329
NEW CASTLE,ST FRANCIS HOSPITAL,"7TH AND CLAYTON STS,WILMINGTON,NEW CASTLE,DE",DE,6125,39.676451,-75.560451
KENT,"BAYHEALTH HOSPITAL, KENT CAMPUS","640 S STATE STREET,DOVER,KENT,DE",DE,9911,39.1513933,-75.5235711
SUSSEX,NANTICOKE MEMORIAL HOSPITAL,"801 MIDDLEFORD RD,SEAFORD,SUSSEX,DE",DE,6818,38.6416361,-75.604395
SUSSEX,BEEBE MEDICAL CENTER,"424 SAVANNAH RD,LEWES,SUSSEX,DE",DE,6818,38.771412,-75.1438896
SUSSEX,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS","100 WELLNESS WAY,MILFORD,SUSSEX,DE",DE,6818,38.8869823,-75.3916778
NEW CASTLE,ALFRED I DUPONT HOSPITAL FOR CHILDREN,"1600 ROCKLAND RD PO BOX 269,WILMINGTON,NEW CASTLE,DE",DE,6125,39.680015,-75.55926
NEW CASTLE,DELAWARE PSYCHIATRIC CENTER,"1901 N DUPONT HIGHWAY,NEW CASTLE,NEW CASTLE,DE",DE,6125,39.7007341,-75.5768449
NEW CASTLE,ROCKFORD CENTER,"100 ROCKFORD DRIVE,NEWARK,NEW CASTLE,DE",DE,6125,39.671492,-75.714329
NEW CASTLE,MEADOWWOOD BEHAVIORAL HEALTH SYSTEM,"575 SOUTH DUPONT HIGHWAY,NEW CASTLE,NEW CASTLE,DE",DE,6125,39.6448283,-75.6247523
KENT,DOVER BEHAVIORAL HEALTH SYSTEM,"725 HORSEPOND ROAD,DOVER,KENT,DE",DE,9911,39.1511116,-75.4857337
SUSSEX,SUN BEHAVIORAL DELAWARE LLC,"21655 BIDEN AVENUE,GEORGETOWN,SUSSEX,DE",DE,6818,38.6991862,-75.4080246
DUVAL,SHANDS JACKSONVILLE,"655 W 8TH ST,JACKSONVILLE,DUVAL,FL",FL,17350,30.3485001,-81.6649015
PALM BEACH,BETHESDA  HOSPITAL INC,"2815 S SEACREST BLVD,BOYNTON BEACH,PALM BEACH,FL",FL,26426,26.5046724,-80.0701696
ORANGE,ORLANDO HEALTH,"52 W UNDERWOOD ST,ORLANDO,ORANGE,FL",FL,66679,30.428991,-84.216323
ORANGE,ADVENTHEALTH ORLANDO,"601 E ROLLINS ST,ORLANDO,ORANGE,FL",FL,66679,30.577929,-84.590959
MIAMI-DADE,BAPTIST HOSPITAL OF MIAMI,"8900 N KENDALL DR,MIAMI,MIAMI-DADE,FL",FL,87035,25.685117,-80.3385886
LEE,LEE MEMORIAL HOSPITAL,"2776 CLEVELAND AVE,FORT MYERS,LEE,FL",FL,18884,26.6282139,-81.8740593
VOLUSIA,ADVENTHEALTH NEW SMYRNA BEACH,"401 PALMETTO ST,NEW SMYRNA BEACH,VOLUSIA,FL",FL,5297,29.0205548,-80.9219786
VOLUSIA,HALIFAX HEALTH MEDICAL CENTER,"303 N CLYDE MORRIS BLVD,DAYTONA BEACH,VOLUSIA,FL",FL,5297,29.2014048,-81.0541387
BREVARD,HOLMES REGIONAL MEDICAL CENTER,"1350 S HICKORY ST,MELBOURNE,BREVARD,FL",FL,4303,28.08363,-80.60811
MIAMI-DADE,JACKSON HEALTH SYSTEM,"1611 NW 12TH AVE,MIAMI,MIAMI-DADE,FL",FL,87035,25.7916705,-80.2126015
ESCAMBIA,SACRED HEART HOSPITAL,"5151 N 9TH AVE,PENSACOLA,ESCAMBIA,FL",FL,6565,30.4777724,-87.2113655
BAY,ASCENSION SACRED HEART BAY,"615 N BONITA AVE,PANAMA CITY,BAY,FL",FL,2585,30.1593073,-85.6482538
BREVARD,PARRISH MEDICAL CENTER,"951 N WASHINGTON AVE,TITUSVILLE,BREVARD,FL",FL,4303,28.6294682,-80.8216247
MIAMI-DADE,NORTH SHORE MEDICAL CENTER,"1100 NW 95TH ST,MIAMI,MIAMI-DADE,FL",FL,87035,25.859556,-80.2139204
ORANGE,HEALTH CENTRAL,"10000 W COLONIAL DR,OCOEE,ORANGE,FL",FL,66679,28.5493465,-81.5254993
PINELLAS,BAYFRONT HEALTH - ST PETERSBURG,"701 6TH ST S,SAINT PETERSBURG,PINELLAS,FL",FL,13705,27.7634059,-82.6431962
MIAMI-DADE,MOUNT SINAI MEDICAL CENTER,"4300 ALTON RD,MIAMI BEACH,MIAMI-DADE,FL",FL,87035,25.8133808,-80.1408734
MANATEE,MANATEE MEMORIAL HOSPITAL,"206 2ND ST E,BRADENTON,MANATEE,FL",FL,6738,27.4972243,-82.5621072
BROWARD,MEMORIAL REGIONAL HOSPITAL,"3501 JOHNSON ST,HOLLYWOOD,BROWARD,FL",FL,40976,26.0195839,-80.1799368
BROWARD,BROWARD HEALTH MEDICAL CENTER,"1600 S ANDREWS AVE,FORT LAUDERDALE,BROWARD,FL",FL,40976,26.1027303,-80.1411669
DUVAL,ASCENSION ST VINCENT'S RIVERSIDE,"1 SHIRCLIFF WAY,JACKSONVILLE,DUVAL,FL",FL,17350,30.3074244,-81.6899628
PINELLAS,MEASE DUNEDIN HOSPITAL,"601 MAIN ST,DUNEDIN,PINELLAS,FL",FL,13705,28.0131147,-82.7827473
MARTIN,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,"200 SE HOSPITAL AVE,STUART,MARTIN,FL",FL,3606,27.1997655,-80.2431541
VOLUSIA,ADVENTHEALTH DELAND,"701 W PLYMOUTH AVE,DELAND,VOLUSIA,FL",FL,5297,29.0442084,-81.3176168
PASCO,FLORIDA HOSPITAL ZEPHYRHILLS,"7050 GALL BLVD,ZEPHYRHILLS,PASCO,FL",FL,5050,28.260961,-82.1860474
SANTA ROSA,JAY HOSPITAL,"14114 ALABAMA ST,JAY,SANTA ROSA,FL",FL,1976,30.410847,-86.219673
HIGHLANDS,HIGHLANDS REGIONAL MEDICAL CENTER,"3600 S HIGHLANDS AVE,SEBRING,HIGHLANDS,FL",FL,778,27.4651344,-81.4328801
MIAMI-DADE,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,"1475 W 49TH ST,HIALEAH,MIAMI-DADE,FL",FL,87035,25.8666701,-80.312413
LAKE,ORLANDO HEALTH SOUTH LAKE HOSPITAL,"1900 DON WICKHAM DR,CLERMONT,LAKE,FL",FL,22444,28.552462,-81.72014
POLK,WINTER HAVEN HOSPITAL,"200 AVE F NE,WINTER HAVEN,POLK,FL",FL,19871,28.0287621,-81.7256313
MIAMI-DADE,HIALEAH HOSPITAL,"651 E 25TH ST,HIALEAH,MIAMI-DADE,FL",FL,87035,25.8455356,-80.2686221
OKALOOSA,TWIN CITIES HOSPITAL,"2190 HWY 85 N,NICEVILLE,OKALOOSA,FL",FL,1973,30.51686,-86.48217
PINELLAS,ADVENTHEALTH NORTH PINELLAS,"1395 S PINELLAS AVE,TARPON SPRINGS,PINELLAS,FL",FL,13705,28.1329641,-82.7574993
LAKE,ADVENTHEALTH WATERMAN,"1000 WATERMAN WAY,TAVARES,LAKE,FL",FL,22444,28.8243087,-81.7123424
MARION,ADVENTHEALTH OCALA,"1500 SW 1ST AVE,OCALA,MARION,FL",FL,22462,29.1748017,-82.1387017
PASCO,MORTON PLANT NORTH BAY HOSPITAL,"6600 MADISON ST,NEW PORT RICHEY,PASCO,FL",FL,5050,28.2546984,-82.7142492
PINELLAS,ST ANTHONYS HOSPITAL,"1200 SEVENTH AVE N,SAINT PETERSBURG,PINELLAS,FL",FL,13705,27.77086,-82.67927
VOLUSIA,ADVENTHEALTH DAYTONA BEACH,"301 MEMORIAL MEDICAL PARKWAY,DAYTONA BEACH,VOLUSIA,FL",FL,5297,29.2425856,-81.1078039
HILLSBOROUGH,FLORIDA HOSPITAL CARROLLWOOD,"7171 N DALE MABRY HWY,TAMPA,HILLSBOROUGH,FL",FL,27684,27.9528647,-82.5055246
SARASOTA,VENICE REGIONAL BAYFRONT HEALTH,"540 THE RIALTO,VENICE,SARASOTA,FL",FL,4338,27.0906043,-82.4452985
HERNANDO,BAYFRONT HEALTH BROOKSVILLE,"17240 CORTEZ BLVD,BROOKSVILLE,HERNANDO,FL",FL,1207,28.5391704,-82.4430719
VOLUSIA,ADVENTHEALTH FISH MEMORIAL,"1055 SAXON BLVD,ORANGE CITY,VOLUSIA,FL",FL,5297,28.9153304,-81.2849173
BROWARD,HOLY CROSS HOSPITAL,"4725 N FEDERAL HWY,FORT LAUDERDALE,BROWARD,FL",FL,40976,26.124338,-80.1372619
HILLSBOROUGH,ST JOSEPHS HOSPITAL,"3001 W MARTIN LUTHER KING JR BLVD,TAMPA,HILLSBOROUGH,FL",FL,27684,26.304261,-80.077562
PALM BEACH,JFK MEDICAL CENTER,"5301 S CONGRESS AVE,ATLANTIS,PALM BEACH,FL",FL,26426,26.723561,-80.042131
WALTON,HEALTHMARK REGIONAL MEDICAL CENTER,"4413 US HWY 331 S,DEFUNIAK SPRINGS,WALTON,FL",FL,1471,26.365111,-80.187326
LAKE,UF HEALTH LEESBURG HOSPITAL,"600 E DIXIE AVE,LEESBURG,LAKE,FL",FL,22444,28.8066546,-81.8682868
BROWARD,BROWARD HEALTH NORTH,"201 E SAMPLE RD,POMPANO BEACH,BROWARD,FL",FL,40976,26.2755255,-80.100032
SARASOTA,SARASOTA MEMORIAL HOSPITAL,"1700 S TAMIAMI TRL,SARASOTA,SARASOTA,FL",FL,4338,27.318258,-82.529677
DUVAL,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,"800 PRUDENTIAL DR,JACKSONVILLE,DUVAL,FL",FL,17350,30.3159377,-81.6632583
ST. JOHNS,FLAGLER HOSPITAL,"400 HEALTH PARK BLVD,SAINT AUGUSTINE,ST. JOHNS,FL",FL,2541,29.862613,-81.318597
BREVARD,STEWARD ROCKLEDGE HOSPITAL,"110 LONGWOOD AVE,ROCKLEDGE,BREVARD,FL",FL,4303,28.3352555,-80.7232103
ESCAMBIA,BAPTIST HOSPITAL,"1000 W MORENO ST,PENSACOLA,ESCAMBIA,FL",FL,6565,30.4296463,-87.2319257
POLK,ADVENTHEALTH LAKE WALES,"410 S 11TH ST,LAKE WALES,POLK,FL",FL,19871,27.8956996,-81.5653979
INDIAN RIVER,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,"1000 36TH ST,VERO BEACH,INDIAN RIVER,FL",FL,1649,27.6590747,-80.3944453
TAYLOR,DOCTORS MEMORIAL HOSPITAL INC,"333 N BYRON BUTLER PKWY,PERRY,TAYLOR,FL",FL,1386,30.1188554,-83.5903244
LEE,LEHIGH REGIONAL MEDICAL CENTER,"1500 LEE BLVD,LEHIGH ACRES,LEE,FL",FL,18884,26.6156136,-81.6595189
HIGHLANDS,ADVENTHEALTH SEBRING,"4200 SUN N LAKE BLVD,SEBRING,HIGHLANDS,FL",FL,778,27.49559,-81.44091
OSCEOLA,OSCEOLA REGIONAL MEDICAL CENTER,"700 WEST OAK STREET,KISSIMMEE,OSCEOLA,FL",FL,6401,29.792289,-81.96397
ALACHUA,UF HEALTH SHANDS HOSPITAL,"1600 SW ARCHER RD,GAINESVILLE,ALACHUA,FL",FL,2683,29.78367,-82.173703
DUVAL,BAPTIST MEDICAL CENTER  BEACHES,"1350 13TH AVE S,JACKSONVILLE BEACH,DUVAL,FL",FL,17350,30.2735917,-81.3990894
FLAGLER,FLORIDA HOSPITAL FLAGLER,"60 MEMORIAL MEDICAL PKWY,PALM COAST,FLAGLER,FL",FL,659,29.4799625,-81.1890979
POLK,BARTOW REGIONAL MEDICAL CENTER,"2200 OSPREY BLVD,BARTOW,POLK,FL",FL,19871,27.9188438,-81.8442491
OKALOOSA,NORTH OKALOOSA MEDICAL CENTER,"151 REDSTONE AVE SE,CRESTVIEW,OKALOOSA,FL",FL,1973,30.76213,-86.57051
SANTA ROSA,SANTA ROSA MEDICAL CENTER,"6002 BERRYHILL RD,MILTON,SANTA ROSA,FL",FL,1976,30.6336,-87.0670181
MIAMI-DADE,HOMESTEAD HOSPITAL,"975 BAPTIST WAY,HOMESTEAD,MIAMI-DADE,FL",FL,87035,25.4718946,-80.4759905
PINELLAS,PALMS OF PASADENA HOSPITAL,"1501 PASADENA AVE S,SAINT PETERSBURG,PINELLAS,FL",FL,13705,27.7668011,-82.7335293
PINELLAS,MORTON PLANT HOSPITAL,"300 PINELLAS ST,CLEARWATER,PINELLAS,FL",FL,13705,27.952054,-82.801584
HILLSBOROUGH,TAMPA GENERAL HOSPITAL,"1 TAMPA GENERAL CIR,TAMPA,HILLSBOROUGH,FL",FL,27684,27.9375006,-82.4588959
PALM BEACH,LAKESIDE MEDICAL CENTER,"39200 HOOKER HWY,BELLE GLADE,PALM BEACH,FL",FL,26426,26.78743,-80.053994
MIAMI-DADE,AVENTURA HOSPITAL AND MEDICAL CENTER,"20900 BISCAYNE BLVD,AVENTURA,MIAMI-DADE,FL",FL,87035,25.9699924,-80.1450406
HILLSBOROUGH,SOUTH FLORIDA BAPTIST HOSPITAL,"301 N ALEXANDER ST,PLANT CITY,HILLSBOROUGH,FL",FL,27684,28.0159622,-82.1389848
BAKER,ED FRASER MEMORIAL HOSPITAL,"159 N 3RD ST,MACCLENNY,BAKER,FL",FL,296,30.2858015,-82.1188408
LEON,TALLAHASSEE MEMORIAL HEALTHCARE,"1300 MICCOSUKEE RD,TALLAHASSEE,LEON,FL",FL,3259,30.4575713,-84.2610382
POLK,ADVENTHEALTH HEART OF FLORIDA,"40100 HWY 27,DAVENPORT,POLK,FL",FL,19871,28.1614,-81.60174
DUVAL,NH Jacksonville,"2080 Child Street,Jacksonville,DUVAL,FL",FL,17350,30.2082416,-81.6831603
NASSAU,BAPTIST MEDICAL CENTER - NASSAU,"1250 S 18TH ST,FERNANDINA BEACH,NASSAU,FL",FL,43462,30.6523047,-81.4491762
JACKSON,JACKSON HOSPITAL,"4250 HOSPITAL DR,MARIANNA,JACKSON,FL",FL,6346,30.7869859,-85.2418494
MONROE,LOWER KEYS MEDICAL CENTER,"5900 COLLEGE ROAD,KEY WEST,MONROE,FL",FL,10026,24.5809017,-81.7429599
DUVAL,MAYO CLINIC FLORIDA,"4500 SAN PABLO RD,JACKSONVILLE,DUVAL,FL",FL,17350,30.3179854,-81.4494338
MIAMI-DADE,SOUTH MIAMI HOSPITAL,"6200 SW 73RD ST,SOUTH MIAMI,MIAMI-DADE,FL",FL,87035,25.703958,-80.294339
POLK,LAKELAND REGIONAL MEDICAL CENTER,"1324 LAKELAND HILLS BLVD,LAKELAND,POLK,FL",FL,19871,28.0602089,-81.9552755
SEMINOLE,CENTRAL FLORIDA REGIONAL HOSPITAL,"1401 W SEMINOLE BLVD,SANFORD,SEMINOLE,FL",FL,5566,27.856907,-82.786436
SARASOTA,DOCTORS HOSPITAL OF SARASOTA,"5731 BEE RIDGE RD,SARASOTA,SARASOTA,FL",FL,4338,27.301725,-82.4536454
BROWARD,PLANTATION GENERAL HOSPITAL,"401 NW 42ND AVE,PLANTATION,BROWARD,FL",FL,40976,26.1267125,-80.2052217
PALM BEACH,BOCA RATON REGIONAL HOSPITAL,"800 MEADOWS RD,BOCA RATON,PALM BEACH,FL",FL,26426,26.847963,-80.076779
HILLSBOROUGH,ADVENTHEALTH TAMPA,"3100 E FLETCHER AVE,TAMPA,HILLSBOROUGH,FL",FL,27684,28.0692345,-82.3850548
PALM BEACH,PALM BEACH GARDENS MEDICAL CENTER,"3360 BURNS RD,PALM BEACH GARDENS,PALM BEACH,FL",FL,26426,26.8293542,-80.0861833
BREVARD,CAPE CANAVERAL HOSPITAL,"701 W COCOA BEACH CAUSEWAY,COCOA BEACH,BREVARD,FL",FL,4303,28.3578571,-80.6105148
DUVAL,MEMORIAL HOSPITAL JACKSONVILLE,"3625 UNIVERSITY BLVD S,JACKSONVILLE,DUVAL,FL",FL,17350,30.2881412,-81.6011309
PINELLAS,ST PETERSBURG GENERAL HOSPITAL,"6500 38TH AVE N,SAINT PETERSBURG,PINELLAS,FL",FL,13705,27.8052244,-82.7264104
MIAMI-DADE,LARKIN COMMUNITY HOSPITAL,"7031 SW 62ND AVE,SOUTH MIAMI,MIAMI-DADE,FL",FL,87035,25.7057985,-80.293111
MIAMI-DADE,CORAL GABLES HOSPITAL,"3100 DOUGLAS RD,CORAL GABLES,MIAMI-DADE,FL",FL,87035,25.7432838,-80.2547912
MIAMI-DADE,PALMETTO GENERAL HOSPITAL,"2001 W 68TH ST,HIALEAH,MIAMI-DADE,FL",FL,87035,25.8868964,-80.3260794
BROWARD,NORTHWEST MEDICAL CENTER,"2801 N STATE RD 7,MARGATE,BROWARD,FL",FL,40976,26.161795,-80.152166
